STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,tra_meas,Traffic and transport measurement,airp_pr,Airport pairs (routes),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-05,,8465,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-06,,9346,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-07,,10737,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-08,,10410,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-09,,9446,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-10,,10678,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-11,,11144,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AR_SAEZ,AMSTERDAM/SCHIPHOL airport - EZEIZA MINISTRO PISTARINI (BA) airport,2018-12,,11787,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-01,,17405,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-02,,18026,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-03,,17763,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-04,,4575,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-05,,1751,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-06,,1717,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-07,,2170,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-08,,2219,,,,,
dataflow,ESTAT:AVIA_PAR_NL(1.0),Air passenger transport routes between partner airports and main airports in the Netherlands,M,Monthly,PAS,Passenger,PAS_BRD,Passengers on board,NL_EHAM_AT_LOWI,AMSTERDAM/SCHIPHOL airport - INNSBRUCK airport,2018-09,,2144,,,,,
